House Vote #1 2020-01-07T18:55:00 - Call of the House
person,state,district,vote,name,party
400004,AL,4,Present,Rep. Robert Aderholt [R],Republican
400029,UT,1,Present,Rep. Rob Bishop [R],Republican
400030,GA,2,Present,Rep. Sanford Bishop Jr. [D],Democrat
400033,OR,3,Present,Rep. Earl Blumenauer [D],Democrat
400046,TX,8,Present,Rep. Kevin Brady [R],Republican
400052,TX,26,Present,Rep. Michael Burgess [R],Republican
400057,CA,42,Present,Rep. Ken Calvert [R],Republican
400068,TX,31,Present,Rep. John Carter [R],Republican
400069,HI,1,Present,Rep. Ed Case [D],Democrat
400071,OH,1,Present,Rep. Steve Chabot [R],Republican
400074,MO,1,Present,Rep. Lacy Clay Jr. [D],Democrat
400075,SC,6,Present,Rep. James “Jim” Clyburn [D],Democrat
400077,OK,4,Present,Rep. Tom Cole [R],Republican
400081,TN,5,Present,Rep. Jim Cooper [D],Democrat
400093,IL,7,Present,Rep. Danny Davis [D],Democrat
400097,CA,53,Present,Rep. Susan Davis [D],Democrat
400100,OR,4,Present,Rep. Peter DeFazio [D],Democrat
400101,CO,1,Not Voting,Rep. Diana DeGette [D],Democrat
400103,CT,3,Present,Rep. Rosa DeLauro [D],Democrat
400108,FL,25,Present,Rep. Mario Diaz-Balart [R],Republican
400111,TX,35,Present,Rep. Lloyd Doggett [D],Democrat
400114,PA,18,Present,Rep. Michael “Mike” Doyle Jr. [D],Democrat
400122,NY,16,Present,Rep. Eliot Engel [D],Democrat
400124,CA,18,Present,Rep. Anna Eshoo [D],Democrat
400157,TX,12,Present,Rep. Kay Granger [R],Republican
400158,MO,6,Present,Rep. Sam Graves [R],Republican
400162,AZ,3,Not Voting,Rep. Raúl Grijalva [D],Democrat
400170,FL,20,Present,Rep. Alcee Hastings [D],Democrat
400189,MD,5,Present,Rep. Steny Hoyer [D],Democrat
400199,TX,18,Present,Rep. Sheila Jackson Lee [D],Democrat
400204,TX,30,Present,Rep. Eddie Johnson [D],Democrat
400211,OH,9,Present,Rep. Marcy Kaptur [D],Democrat
400218,WI,3,Not Voting,Rep. Ron Kind [D],Democrat
400219,NY,2,Present,Rep. Peter “Pete” King [R],Republican
400220,IA,4,Present,Rep. Steve King [R],Republican
400230,RI,2,Present,Rep. James “Jim” Langevin [D],Democrat
400232,WA,2,Present,Rep. Rick Larsen [D],Democrat
400233,CT,1,Present,Rep. John Larson [D],Democrat
400237,CA,13,Present,Rep. Barbara Lee [D],Democrat
400240,GA,5,Not Voting,"Rep. John Lewis [D, 1987-2020]",Democrat
400245,CA,19,Present,Rep. Zoe Lofgren [D],Democrat
400246,NY,17,Present,Rep. Nita Lowey [D],Democrat
400247,OK,3,Present,Rep. Frank Lucas [R],Republican
400249,MA,8,Present,Rep. Stephen Lynch [D],Democrat
400251,NY,12,Present,Rep. Carolyn Maloney [D],Democrat
400259,MN,4,Present,Rep. Betty McCollum [D],Democrat
400263,MA,2,Present,Rep. James “Jim” McGovern [D],Democrat
400271,NY,5,Present,Rep. Gregory Meeks [D],Democrat
400289,NY,10,Not Voting,Rep. Jerrold Nadler [D],Democrat
400290,CA,32,Present,Rep. Grace Napolitano [D],Democrat
400291,MA,1,Present,Rep. Richard Neal [D],Democrat
400297,CA,22,Present,Rep. Devin Nunes [R],Republican
400308,NJ,6,Present,Rep. Frank Pallone Jr. [D],Democrat
400309,NJ,9,Present,Rep. Bill Pascrell Jr. [D],Democrat
400314,CA,12,Present,Rep. Nancy Pelosi [D],Democrat
400316,MN,7,Present,Rep. Collin Peterson [D],Democrat
400326,NC,4,Present,Rep. David Price [D],Democrat
400340,KY,5,Present,Rep. Harold “Hal” Rogers [R],Republican
400341,AL,3,Present,Rep. Mike Rogers [R],Republican
400347,CA,40,Present,Rep. Lucille Roybal-Allard [D],Democrat
400349,MD,2,Present,Rep. A. Dutch Ruppersberger [D],Democrat
400350,IL,1,Present,Rep. Bobby Rush [D],Democrat
