House Vote #42 2020-02-06T20:11:00 - H.Amdt. 768 (Foxx) to H.R. 2474: Beginning on page 14, line 25, strike "the names of all Employees" and all that follows through "personal email Addresses" on page 15, line 4, and insert "the names of all employees in the bargaining unit and not more tha
person,state,district,vote,name,party
400004,AL,4,Aye,Rep. Robert Aderholt [R],Republican
400029,UT,1,Aye,Rep. Rob Bishop [R],Republican
400030,GA,2,No,Rep. Sanford Bishop Jr. [D],Democrat
400033,OR,3,No,Rep. Earl Blumenauer [D],Democrat
400046,TX,8,Aye,Rep. Kevin Brady [R],Republican
400052,TX,26,Aye,Rep. Michael Burgess [R],Republican
400057,CA,42,Aye,Rep. Ken Calvert [R],Republican
400068,TX,31,Aye,Rep. John Carter [R],Republican
400069,HI,1,No,Rep. Ed Case [D],Democrat
400071,OH,1,Aye,Rep. Steve Chabot [R],Republican
400074,MO,1,No,Rep. Lacy Clay Jr. [D],Democrat
400075,SC,6,No,Rep. James “Jim” Clyburn [D],Democrat
400077,OK,4,Aye,Rep. Tom Cole [R],Republican
400081,TN,5,No,Rep. Jim Cooper [D],Democrat
400093,IL,7,No,Rep. Danny Davis [D],Democrat
400097,CA,53,No,Rep. Susan Davis [D],Democrat
400100,OR,4,No,Rep. Peter DeFazio [D],Democrat
400101,CO,1,No,Rep. Diana DeGette [D],Democrat
400103,CT,3,No,Rep. Rosa DeLauro [D],Democrat
400108,FL,25,Aye,Rep. Mario Diaz-Balart [R],Republican
400111,TX,35,No,Rep. Lloyd Doggett [D],Democrat
400114,PA,18,No,Rep. Michael “Mike” Doyle Jr. [D],Democrat
400122,NY,16,No,Rep. Eliot Engel [D],Democrat
400124,CA,18,Not Voting,Rep. Anna Eshoo [D],Democrat
400157,TX,12,Aye,Rep. Kay Granger [R],Republican
400158,MO,6,Aye,Rep. Sam Graves [R],Republican
400162,AZ,3,No,Rep. Raúl Grijalva [D],Democrat
400170,FL,20,No,Rep. Alcee Hastings [D],Democrat
400189,MD,5,No,Rep. Steny Hoyer [D],Democrat
400199,TX,18,No,Rep. Sheila Jackson Lee [D],Democrat
400204,TX,30,No,Rep. Eddie Johnson [D],Democrat
400211,OH,9,No,Rep. Marcy Kaptur [D],Democrat
400218,WI,3,No,Rep. Ron Kind [D],Democrat
400219,NY,2,No,Rep. Peter “Pete” King [R],Republican
400220,IA,4,Aye,Rep. Steve King [R],Republican
400230,RI,2,No,Rep. James “Jim” Langevin [D],Democrat
400232,WA,2,No,Rep. Rick Larsen [D],Democrat
400233,CT,1,No,Rep. John Larson [D],Democrat
400237,CA,13,No,Rep. Barbara Lee [D],Democrat
400240,GA,5,Not Voting,"Rep. John Lewis [D, 1987-2020]",Democrat
400245,CA,19,No,Rep. Zoe Lofgren [D],Democrat
400246,NY,17,No,Rep. Nita Lowey [D],Democrat
400247,OK,3,Aye,Rep. Frank Lucas [R],Republican
400249,MA,8,No,Rep. Stephen Lynch [D],Democrat
400251,NY,12,No,Rep. Carolyn Maloney [D],Democrat
