Senate Vote #216 2020-10-23T13:03:00 - On the Motion (Motion to Open the Doors)
person,state,district,vote,name,party
300002,TN,,Not Voting,Sen. Lamar Alexander [R],Republican
300018,WA,,Not Voting,Sen. Maria Cantwell [D],Democrat
300019,DE,,Not Voting,Sen. Thomas Carper [D],Democrat
300025,ME,,Not Voting,Sen. Susan Collins [R],Republican
300027,TX,,Not Voting,Sen. John Cornyn [R],Republican
300030,ID,,Not Voting,Sen. Michael Crapo [R],Republican
300038,IL,,Not Voting,Sen. Richard Durbin [D],Democrat
300041,WY,,Not Voting,Sen. Michael Enzi [R],Republican
300043,CA,,Not Voting,Sen. Dianne Feinstein [D],Democrat
300047,SC,,Not Voting,Sen. Lindsey Graham [R],Republican
300048,IA,,Not Voting,Sen. Charles “Chuck” Grassley [R],Republican
300055,OK,,Not Voting,Sen. James “Jim” Inhofe [R],Republican
300065,VT,,Not Voting,Sen. Patrick Leahy [D],Democrat
300072,KY,,Not Voting,Sen. Mitch McConnell [R],Republican
300075,AK,,Not Voting,Sen. Lisa Murkowski [R],Republican
300076,WA,,Not Voting,Sen. Patty Murray [D],Democrat
300081,RI,,Not Voting,Sen. John “Jack” Reed [D],Democrat
300083,KS,,Not Voting,Sen. Pat Roberts [R],Republican
300087,NY,,Not Voting,Sen. Charles “Chuck” Schumer [D],Democrat
300089,AL,,Not Voting,Sen. Richard Shelby [R],Republican
300093,MI,,Not Voting,Sen. Debbie Stabenow [D],Democrat
300100,OR,,Not Voting,Sen. Ron Wyden [D],Democrat
400013,WI,,Not Voting,Sen. Tammy Baldwin [D],Democrat
400032,TN,,Not Voting,Sen. Marsha Blackburn [R],Republican
400034,MO,,Not Voting,Sen. Roy Blunt [R],Republican
400040,AR,,Not Voting,Sen. John Boozman [R],Republican
400050,OH,,Not Voting,Sen. Sherrod Brown [D],Democrat
400054,NC,,Not Voting,Sen. Richard Burr [R],Republican
400061,WV,,Not Voting,Sen. Shelley Capito [R],Republican
400064,MD,,Not Voting,Sen. Benjamin Cardin [D],Democrat
400253,MA,,Not Voting,Sen. Edward “Ed” Markey [D],Democrat
400272,NJ,,Not Voting,Sen. Robert “Bob” Menendez [D],Democrat
400284,KS,,Not Voting,Sen. Jerry Moran [R],Republican
400325,OH,,Not Voting,Sen. Robert “Rob” Portman [R],Republican
400357,VT,,Not Voting,Sen. Bernard “Bernie” Sanders [I],Independent
400408,PA,,Not Voting,Sen. Patrick “Pat” Toomey [R],Republican
400413,NM,,Not Voting,Sen. Tom Udall [D],Democrat
400415,MD,,Not Voting,Sen. Chris Van Hollen Jr. [D],Democrat
400432,MS,,Not Voting,Sen. Roger Wicker [R],Republican
400546,SD,,Not Voting,Sen. John Thune [R],Republican
412194,CT,,Not Voting,Sen. Christopher Murphy [D],Democrat
412200,HI,,Not Voting,Sen. Mazie Hirono [D],Democrat
412223,NY,,Not Voting,Sen. Kirsten Gillibrand [D],Democrat
412242,MN,,Not Voting,Sen. Amy Klobuchar [D],Democrat
412244,MT,,Not Voting,Sen. Jon Tester [D],Democrat
412246,PA,,Not Voting,Sen. Robert “Bob” Casey Jr. [D],Democrat
412247,RI,,Not Voting,Sen. Sheldon Whitehouse [D],Democrat
412251,WY,,Not Voting,Sen. John Barrasso [R],Republican
412269,LA,,Not Voting,Sen. Bill Cassidy [R],Republican
412281,NM,,Not Voting,Sen. Martin Heinrich [D],Democrat
412305,MI,,Not Voting,Sen. Gary Peters [D],Democrat
412321,VA,,Not Voting,Sen. Mark Warner [D],Democrat
412322,ID,,Not Voting,Sen. James Risch [R],Republican
412323,NH,,Not Voting,Sen. Jeanne Shaheen [D],Democrat
412325,OR,,Not Voting,Sen. Jeff Merkley [D],Democrat
412330,CO,,Not Voting,Sen. Michael Bennet [D],Democrat
412390,DE,,Not Voting,Sen. Chris Coons [D],Democrat
