Senate Vote #22 2020-01-22T00:56:00 - On the Motion to Table S.Amdt. 1291 to S.Res. 483 (No short title on file)
person,state,district,vote,name,party
300002,TN,,Yea,Sen. Lamar Alexander [R],Republican
300018,WA,,Nay,Sen. Maria Cantwell [D],Democrat
300019,DE,,Nay,Sen. Thomas Carper [D],Democrat
300025,ME,,Yea,Sen. Susan Collins [R],Republican
300027,TX,,Yea,Sen. John Cornyn [R],Republican
300030,ID,,Yea,Sen. Michael Crapo [R],Republican
300038,IL,,Nay,Sen. Richard Durbin [D],Democrat
300041,WY,,Yea,Sen. Michael Enzi [R],Republican
300043,CA,,Nay,Sen. Dianne Feinstein [D],Democrat
300047,SC,,Yea,Sen. Lindsey Graham [R],Republican
300048,IA,,Yea,Sen. Charles “Chuck” Grassley [R],Republican
300055,OK,,Yea,Sen. James “Jim” Inhofe [R],Republican
300065,VT,,Nay,Sen. Patrick Leahy [D],Democrat
300072,KY,,Yea,Sen. Mitch McConnell [R],Republican
300075,AK,,Yea,Sen. Lisa Murkowski [R],Republican
300076,WA,,Nay,Sen. Patty Murray [D],Democrat
300081,RI,,Nay,Sen. John “Jack” Reed [D],Democrat
300083,KS,,Yea,Sen. Pat Roberts [R],Republican
300087,NY,,Nay,Sen. Charles “Chuck” Schumer [D],Democrat
300089,AL,,Yea,Sen. Richard Shelby [R],Republican
300093,MI,,Nay,Sen. Debbie Stabenow [D],Democrat
300100,OR,,Nay,Sen. Ron Wyden [D],Democrat
400013,WI,,Nay,Sen. Tammy Baldwin [D],Democrat
400032,TN,,Yea,Sen. Marsha Blackburn [R],Republican
400034,MO,,Yea,Sen. Roy Blunt [R],Republican
400040,AR,,Yea,Sen. John Boozman [R],Republican
400050,OH,,Nay,Sen. Sherrod Brown [D],Democrat
400054,NC,,Yea,Sen. Richard Burr [R],Republican
400061,WV,,Yea,Sen. Shelley Capito [R],Republican
400064,MD,,Nay,Sen. Benjamin Cardin [D],Democrat
400253,MA,,Nay,Sen. Edward “Ed” Markey [D],Democrat
400272,NJ,,Nay,Sen. Robert “Bob” Menendez [D],Democrat
400284,KS,,Yea,Sen. Jerry Moran [R],Republican
400325,OH,,Yea,Sen. Robert “Rob” Portman [R],Republican
400357,VT,,Nay,Sen. Bernard “Bernie” Sanders [I],Independent
400408,PA,,Yea,Sen. Patrick “Pat” Toomey [R],Republican
400413,NM,,Nay,Sen. Tom Udall [D],Democrat
400415,MD,,Nay,Sen. Chris Van Hollen Jr. [D],Democrat
400432,MS,,Yea,Sen. Roger Wicker [R],Republican
400546,SD,,Yea,Sen. John Thune [R],Republican
412194,CT,,Nay,Sen. Christopher Murphy [D],Democrat
412200,HI,,Nay,Sen. Mazie Hirono [D],Democrat
412223,NY,,Nay,Sen. Kirsten Gillibrand [D],Democrat
412242,MN,,Nay,Sen. Amy Klobuchar [D],Democrat
412244,MT,,Nay,Sen. Jon Tester [D],Democrat
412246,PA,,Nay,Sen. Robert “Bob” Casey Jr. [D],Democrat
412247,RI,,Nay,Sen. Sheldon Whitehouse [D],Democrat
412251,WY,,Yea,Sen. John Barrasso [R],Republican
412269,LA,,Yea,Sen. Bill Cassidy [R],Republican
412281,NM,,Nay,Sen. Martin Heinrich [D],Democrat
412305,MI,,Nay,Sen. Gary Peters [D],Democrat
412321,VA,,Nay,Sen. Mark Warner [D],Democrat
412322,ID,,Yea,Sen. James Risch [R],Republican
412323,NH,,Nay,Sen. Jeanne Shaheen [D],Democrat
412325,OR,,Nay,Sen. Jeff Merkley [D],Democrat
412330,CO,,Nay,Sen. Michael Bennet [D],Democrat
412390,DE,,Nay,Sen. Chris Coons [D],Democrat
412391,WV,,Nay,Sen. Joe Manchin III [D],Democrat
412406,CO,,Yea,Sen. Cory Gardner [R],Republican
412428,IN,,Yea,Sen. Todd Young [R],Republican
412464,OK,,Yea,Sen. James Lankford [R],Republican
412471,SC,,Yea,Sen. Tim Scott [R],Republican
412490,CT,,Nay,Sen. Richard Blumenthal [D],Democrat
412491,FL,,Yea,Sen. Marco Rubio [R],Republican
412492,KY,,Yea,Sen. Rand Paul [R],Republican
412494,ND,,Yea,Sen. John Hoeven [R],Republican
412495,UT,,Yea,Sen. Mike Lee [R],Republican
412496,WI,,Yea,Sen. Ron Johnson [R],Republican
412507,HI,,Nay,Sen. Brian Schatz [D],Democrat
412508,AR,,Yea,Sen. Tom Cotton [R],Republican
412509,AZ,,Nay,Sen. Kyrsten Sinema [D],Democrat
412533,IL,,Nay,Sen. Tammy Duckworth [D],Democrat
412542,MA,,Nay,Sen. Elizabeth Warren [D],Democrat
412545,ME,,Nay,Sen. Angus King [I],Independent
412549,MT,,Yea,Sen. Steve Daines [R],Republican
412555,ND,,Yea,Sen. Kevin Cramer [R],Republican
412556,NE,,Yea,Sen. Deb Fischer [R],Republican
412573,TX,,Yea,Sen. Ted Cruz [R],Republican
412582,VA,,Nay,Sen. Timothy “Tim” Kaine [D],Democrat
412598,NJ,,Nay,Sen. Cory Booker [D],Democrat
412611,AZ,,Yea,Sen. Martha McSally [R],Republican
412665,AK,,Yea,Sen. Dan Sullivan [R],Republican
412666,GA,,Yea,Sen. David Perdue [R],Republican
412667,IA,,Yea,Sen. Joni Ernst [R],Republican
412668,NC,,Yea,Sen. Thom Tillis [R],Republican
412669,SD,,Yea,Sen. Mike Rounds [R],Republican
412671,NE,,Yea,Sen. Benjamin Sasse [R],Republican
412678,CA,,Nay,Sen. Kamala Harris [D],Democrat
412679,LA,,Yea,Sen. John Kennedy [R],Republican
412680,NH,,Nay,Sen. Margaret “Maggie” Hassan [D],Democrat
412681,NV,,Nay,Sen. Catherine Cortez Masto [D],Democrat
412715,NV,,Nay,Sen. Jacky Rosen [D],Democrat
412741,AL,,Nay,Sen. Doug Jones [D],Democrat
412742,MN,,Nay,Sen. Tina Smith [D],Democrat
412743,MS,,Yea,Sen. Cindy Hyde-Smith [R],Republican
412838,FL,,Yea,Sen. Rick Scott [R],Republican
412839,IN,,Yea,Sen. Mike Braun [R],Republican
412840,MO,,Yea,Sen. Joshua Hawley [R],Republican
412841,UT,,Yea,Sen. Mitt Romney [R],Republican
456790,GA,,Yea,Sen. Kelly Loeffler [R],Republican
