Senate Vote #34 2020-02-05T16:24:00 - Guilty or Not Guilty H.Res. 755
person,state,district,vote,name,party
300002,TN,,Not Guilty,Sen. Lamar Alexander [R],Republican
300018,WA,,Guilty,Sen. Maria Cantwell [D],Democrat
300019,DE,,Guilty,Sen. Thomas Carper [D],Democrat
300025,ME,,Not Guilty,Sen. Susan Collins [R],Republican
300027,TX,,Not Guilty,Sen. John Cornyn [R],Republican
300030,ID,,Not Guilty,Sen. Michael Crapo [R],Republican
300038,IL,,Guilty,Sen. Richard Durbin [D],Democrat
300041,WY,,Not Guilty,Sen. Michael Enzi [R],Republican
300043,CA,,Guilty,Sen. Dianne Feinstein [D],Democrat
300047,SC,,Not Guilty,Sen. Lindsey Graham [R],Republican
300048,IA,,Not Guilty,Sen. Charles “Chuck” Grassley [R],Republican
300055,OK,,Not Guilty,Sen. James “Jim” Inhofe [R],Republican
300065,VT,,Guilty,Sen. Patrick Leahy [D],Democrat
300072,KY,,Not Guilty,Sen. Mitch McConnell [R],Republican
300075,AK,,Not Guilty,Sen. Lisa Murkowski [R],Republican
300076,WA,,Guilty,Sen. Patty Murray [D],Democrat
300081,RI,,Guilty,Sen. John “Jack” Reed [D],Democrat
300083,KS,,Not Guilty,Sen. Pat Roberts [R],Republican
300087,NY,,Guilty,Sen. Charles “Chuck” Schumer [D],Democrat
300089,AL,,Not Guilty,Sen. Richard Shelby [R],Republican
300093,MI,,Guilty,Sen. Debbie Stabenow [D],Democrat
300100,OR,,Guilty,Sen. Ron Wyden [D],Democrat
400013,WI,,Guilty,Sen. Tammy Baldwin [D],Democrat
400032,TN,,Not Guilty,Sen. Marsha Blackburn [R],Republican
400034,MO,,Not Guilty,Sen. Roy Blunt [R],Republican
400040,AR,,Not Guilty,Sen. John Boozman [R],Republican
400050,OH,,Guilty,Sen. Sherrod Brown [D],Democrat
400054,NC,,Not Guilty,Sen. Richard Burr [R],Republican
400061,WV,,Not Guilty,Sen. Shelley Capito [R],Republican
400064,MD,,Guilty,Sen. Benjamin Cardin [D],Democrat
400253,MA,,Guilty,Sen. Edward “Ed” Markey [D],Democrat
400272,NJ,,Guilty,Sen. Robert “Bob” Menendez [D],Democrat
400284,KS,,Not Guilty,Sen. Jerry Moran [R],Republican
400325,OH,,Not Guilty,Sen. Robert “Rob” Portman [R],Republican
400357,VT,,Guilty,Sen. Bernard “Bernie” Sanders [I],Independent
400408,PA,,Not Guilty,Sen. Patrick “Pat” Toomey [R],Republican
400413,NM,,Guilty,Sen. Tom Udall [D],Democrat
400415,MD,,Guilty,Sen. Chris Van Hollen Jr. [D],Democrat
400432,MS,,Not Guilty,Sen. Roger Wicker [R],Republican
400546,SD,,Not Guilty,Sen. John Thune [R],Republican
412194,CT,,Guilty,Sen. Christopher Murphy [D],Democrat
412200,HI,,Guilty,Sen. Mazie Hirono [D],Democrat
412223,NY,,Guilty,Sen. Kirsten Gillibrand [D],Democrat
412242,MN,,Guilty,Sen. Amy Klobuchar [D],Democrat
