,Party,https://www.govtrack.us/congress/votes/79-1945/s1,https://www.govtrack.us/congress/votes/79-1945/s2,https://www.govtrack.us/congress/votes/79-1945/s3,https://www.govtrack.us/congress/votes/79-1945/s4,https://www.govtrack.us/congress/votes/79-1945/s5,https://www.govtrack.us/congress/votes/79-1945/s6,https://www.govtrack.us/congress/votes/79-1945/s7,https://www.govtrack.us/congress/votes/79-1945/s8,https://www.govtrack.us/congress/votes/79-1945/s9,https://www.govtrack.us/congress/votes/79-1945/s10,https://www.govtrack.us/congress/votes/79-1945/s11,https://www.govtrack.us/congress/votes/79-1945/s12,https://www.govtrack.us/congress/votes/79-1945/s13,https://www.govtrack.us/congress/votes/79-1945/s14,https://www.govtrack.us/congress/votes/79-1945/s15,https://www.govtrack.us/congress/votes/79-1945/s16,https://www.govtrack.us/congress/votes/79-1945/s17,https://www.govtrack.us/congress/votes/79-1945/s18,https://www.govtrack.us/congress/votes/79-1945/s19,https://www.govtrack.us/congress/votes/79-1945/s20,https://www.govtrack.us/congress/votes/79-1945/s21,https://www.govtrack.us/congress/votes/79-1945/s22,https://www.govtrack.us/congress/votes/79-1945/s23,https://www.govtrack.us/congress/votes/79-1945/s24,https://www.govtrack.us/congress/votes/79-1945/s25,https://www.govtrack.us/congress/votes/79-1945/s26,https://www.govtrack.us/congress/votes/79-1945/s27,https://www.govtrack.us/congress/votes/79-1945/s28,https://www.govtrack.us/congress/votes/79-1945/s29,https://www.govtrack.us/congress/votes/79-1945/s30,https://www.govtrack.us/congress/votes/79-1945/s31,https://www.govtrack.us/congress/votes/79-1945/s32,https://www.govtrack.us/congress/votes/79-1945/s33,https://www.govtrack.us/congress/votes/79-1945/s34,https://www.govtrack.us/congress/votes/79-1945/s35,https://www.govtrack.us/congress/votes/79-1945/s36,https://www.govtrack.us/congress/votes/79-1945/s37,https://www.govtrack.us/congress/votes/79-1945/s38,https://www.govtrack.us/congress/votes/79-1945/s39,https://www.govtrack.us/congress/votes/79-1945/s40,https://www.govtrack.us/congress/votes/79-1945/s41,https://www.govtrack.us/congress/votes/79-1945/s42,https://www.govtrack.us/congress/votes/79-1945/s43,https://www.govtrack.us/congress/votes/79-1945/s44,https://www.govtrack.us/congress/votes/79-1945/s45,https://www.govtrack.us/congress/votes/79-1945/s46,https://www.govtrack.us/congress/votes/79-1945/s47,https://www.govtrack.us/congress/votes/79-1945/s48,https://www.govtrack.us/congress/votes/79-1945/s49,https://www.govtrack.us/congress/votes/79-1945/s50,https://www.govtrack.us/congress/votes/79-1945/s51,https://www.govtrack.us/congress/votes/79-1945/s52,https://www.govtrack.us/congress/votes/79-1945/s53,https://www.govtrack.us/congress/votes/79-1945/s54,https://www.govtrack.us/congress/votes/79-1945/s55,https://www.govtrack.us/congress/votes/79-1945/s56,https://www.govtrack.us/congress/votes/79-1945/s57,https://www.govtrack.us/congress/votes/79-1945/s58,https://www.govtrack.us/congress/votes/79-1945/s59,https://www.govtrack.us/congress/votes/79-1945/s60,https://www.govtrack.us/congress/votes/79-1945/s61,https://www.govtrack.us/congress/votes/79-1945/s62,https://www.govtrack.us/congress/votes/79-1945/s63,https://www.govtrack.us/congress/votes/79-1945/s64,https://www.govtrack.us/congress/votes/79-1945/s65,https://www.govtrack.us/congress/votes/79-1945/s66,https://www.govtrack.us/congress/votes/79-1945/s67,https://www.govtrack.us/congress/votes/79-1945/s68,https://www.govtrack.us/congress/votes/79-1945/s69,https://www.govtrack.us/congress/votes/79-1945/s70,https://www.govtrack.us/congress/votes/79-1945/s71,https://www.govtrack.us/congress/votes/79-1945/s72,https://www.govtrack.us/congress/votes/79-1945/s73,https://www.govtrack.us/congress/votes/79-1945/s74,https://www.govtrack.us/congress/votes/79-1945/s75,https://www.govtrack.us/congress/votes/79-1945/s76,https://www.govtrack.us/congress/votes/79-1945/s77,https://www.govtrack.us/congress/votes/79-1945/s78,https://www.govtrack.us/congress/votes/79-1945/s79,https://www.govtrack.us/congress/votes/79-1945/s80,https://www.govtrack.us/congress/votes/79-1945/s81,https://www.govtrack.us/congress/votes/79-1945/s82,https://www.govtrack.us/congress/votes/79-1945/s83,https://www.govtrack.us/congress/votes/79-1945/s84,https://www.govtrack.us/congress/votes/79-1945/s85,https://www.govtrack.us/congress/votes/79-1945/s86,https://www.govtrack.us/congress/votes/79-1945/s87,https://www.govtrack.us/congress/votes/79-1945/s88,https://www.govtrack.us/congress/votes/79-1945/s89,https://www.govtrack.us/congress/votes/79-1945/s90,https://www.govtrack.us/congress/votes/79-1945/s91,https://www.govtrack.us/congress/votes/79-1945/s92,https://www.govtrack.us/congress/votes/79-1945/s93,https://www.govtrack.us/congress/votes/79-1945/s94,https://www.govtrack.us/congress/votes/79-1945/s95,https://www.govtrack.us/congress/votes/79-1945/s96,https://www.govtrack.us/congress/votes/79-1945/s97,https://www.govtrack.us/congress/votes/79-1945/s98,https://www.govtrack.us/congress/votes/79-1945/s99,https://www.govtrack.us/congress/votes/79-1945/s100,https://www.govtrack.us/congress/votes/79-1945/s101,https://www.govtrack.us/congress/votes/79-1945/s102,https://www.govtrack.us/congress/votes/79-1945/s103,https://www.govtrack.us/congress/votes/79-1945/s104,https://www.govtrack.us/congress/votes/79-1945/s105,https://www.govtrack.us/congress/votes/79-1945/s106,https://www.govtrack.us/congress/votes/79-1945/s107,https://www.govtrack.us/congress/votes/79-1945/s108
"Sen. James Fulbright [D, 1945-1974]",D,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
"Sen. George Wilson [R, 1943-1948]",R,1.0,0.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,0.5,1.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0
"Sen. Henry “Styles” Bridges [R, 1937-1961]",R,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.0,0.5,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,1.0,1.0,0.5,0.5,0.5
"Sen. William Langer [R, 1941-1959]",R,0.5,0.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Sen. John Thomas [D, 1927-1950]",D,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,1.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"Sen. Harley Kilgore [D, 1941-1956]",D,0.0,0.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,0.5,0.5,1.0,0.0,0.0,1.0,0.5,0.5,0.5,1.0,1.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
"Sen. Orrice “Abe” Murdock Jr. [D, 1941-1946]",D,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
"Sen. Robert Taft [R, 1939-1953]",R,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,0.0
"Sen. Joseph Guffey [D, 1935-1946]",D,0.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.5,0.0,0.0,1.0,0.5
"Sen. George Aiken [R, 1941-1974]",R,1.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.5,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
