,Party,https://www.govtrack.us/congress/votes/83-1953/s1,https://www.govtrack.us/congress/votes/83-1953/s2,https://www.govtrack.us/congress/votes/83-1953/s3,https://www.govtrack.us/congress/votes/83-1953/s4,https://www.govtrack.us/congress/votes/83-1953/s5,https://www.govtrack.us/congress/votes/83-1953/s6,https://www.govtrack.us/congress/votes/83-1953/s7,https://www.govtrack.us/congress/votes/83-1953/s8,https://www.govtrack.us/congress/votes/83-1953/s9,https://www.govtrack.us/congress/votes/83-1953/s10,https://www.govtrack.us/congress/votes/83-1953/s11,https://www.govtrack.us/congress/votes/83-1953/s12,https://www.govtrack.us/congress/votes/83-1953/s13,https://www.govtrack.us/congress/votes/83-1953/s14,https://www.govtrack.us/congress/votes/83-1953/s15,https://www.govtrack.us/congress/votes/83-1953/s16,https://www.govtrack.us/congress/votes/83-1953/s17,https://www.govtrack.us/congress/votes/83-1953/s18,https://www.govtrack.us/congress/votes/83-1953/s19,https://www.govtrack.us/congress/votes/83-1953/s20,https://www.govtrack.us/congress/votes/83-1953/s21,https://www.govtrack.us/congress/votes/83-1953/s22,https://www.govtrack.us/congress/votes/83-1953/s23,https://www.govtrack.us/congress/votes/83-1953/s24,https://www.govtrack.us/congress/votes/83-1953/s25,https://www.govtrack.us/congress/votes/83-1953/s26,https://www.govtrack.us/congress/votes/83-1953/s27,https://www.govtrack.us/congress/votes/83-1953/s28,https://www.govtrack.us/congress/votes/83-1953/s29,https://www.govtrack.us/congress/votes/83-1953/s30,https://www.govtrack.us/congress/votes/83-1953/s31,https://www.govtrack.us/congress/votes/83-1953/s32,https://www.govtrack.us/congress/votes/83-1953/s33,https://www.govtrack.us/congress/votes/83-1953/s34,https://www.govtrack.us/congress/votes/83-1953/s35,https://www.govtrack.us/congress/votes/83-1953/s36,https://www.govtrack.us/congress/votes/83-1953/s37,https://www.govtrack.us/congress/votes/83-1953/s38,https://www.govtrack.us/congress/votes/83-1953/s39,https://www.govtrack.us/congress/votes/83-1953/s40,https://www.govtrack.us/congress/votes/83-1953/s41,https://www.govtrack.us/congress/votes/83-1953/s42,https://www.govtrack.us/congress/votes/83-1953/s43,https://www.govtrack.us/congress/votes/83-1953/s44,https://www.govtrack.us/congress/votes/83-1953/s45,https://www.govtrack.us/congress/votes/83-1953/s46,https://www.govtrack.us/congress/votes/83-1953/s47,https://www.govtrack.us/congress/votes/83-1953/s48,https://www.govtrack.us/congress/votes/83-1953/s49,https://www.govtrack.us/congress/votes/83-1953/s50,https://www.govtrack.us/congress/votes/83-1953/s51,https://www.govtrack.us/congress/votes/83-1953/s52,https://www.govtrack.us/congress/votes/83-1953/s53,https://www.govtrack.us/congress/votes/83-1953/s54,https://www.govtrack.us/congress/votes/83-1953/s55,https://www.govtrack.us/congress/votes/83-1953/s56,https://www.govtrack.us/congress/votes/83-1953/s57,https://www.govtrack.us/congress/votes/83-1953/s58,https://www.govtrack.us/congress/votes/83-1953/s59,https://www.govtrack.us/congress/votes/83-1953/s60,https://www.govtrack.us/congress/votes/83-1953/s61,https://www.govtrack.us/congress/votes/83-1953/s62,https://www.govtrack.us/congress/votes/83-1953/s63,https://www.govtrack.us/congress/votes/83-1953/s64,https://www.govtrack.us/congress/votes/83-1953/s65,https://www.govtrack.us/congress/votes/83-1953/s66,https://www.govtrack.us/congress/votes/83-1953/s67,https://www.govtrack.us/congress/votes/83-1953/s68,https://www.govtrack.us/congress/votes/83-1953/s69,https://www.govtrack.us/congress/votes/83-1953/s70,https://www.govtrack.us/congress/votes/83-1953/s71,https://www.govtrack.us/congress/votes/83-1953/s72,https://www.govtrack.us/congress/votes/83-1953/s73,https://www.govtrack.us/congress/votes/83-1953/s74,https://www.govtrack.us/congress/votes/83-1953/s75,https://www.govtrack.us/congress/votes/83-1953/s76,https://www.govtrack.us/congress/votes/83-1953/s77,https://www.govtrack.us/congress/votes/83-1953/s78,https://www.govtrack.us/congress/votes/83-1953/s79,https://www.govtrack.us/congress/votes/83-1953/s80,https://www.govtrack.us/congress/votes/83-1953/s81,https://www.govtrack.us/congress/votes/83-1953/s82,https://www.govtrack.us/congress/votes/83-1953/s83,https://www.govtrack.us/congress/votes/83-1953/s84,https://www.govtrack.us/congress/votes/83-1953/s85,https://www.govtrack.us/congress/votes/83-1953/s86,https://www.govtrack.us/congress/votes/83-1953/s87,https://www.govtrack.us/congress/votes/83-1953/s88,https://www.govtrack.us/congress/votes/83-1953/s89,https://www.govtrack.us/congress/votes/83-1953/s90
"Sen. James Duff [R, 1951-1956]",R,1.0,0.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.5,1.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
"Sen. James Fulbright [D, 1945-1974]",D,0.0,1.0,0.5,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Sen. James Beall [R, 1953-1964]",R,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
"Sen. Clinton Anderson [D, 1949-1972]",D,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
"Sen. Albert Gore [D, 1953-1970]",D,0.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,0.5,0.5,0.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
"Sen. Irving Ives [R, 1947-1958]",R,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Sen. Henry “Styles” Bridges [R, 1937-1961]",R,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Sen. Dwight Griswold [R, 1952-1954]",R,1.0,0.5,1.0,1.0,0.5,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0
"Sen. William Langer [R, 1941-1959]",R,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
"Sen. Ralph Flanders [R, 1946-1958]",R,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0
