,Party,https://www.govtrack.us/congress/votes/85-1957/s1,https://www.govtrack.us/congress/votes/85-1957/s2,https://www.govtrack.us/congress/votes/85-1957/s3,https://www.govtrack.us/congress/votes/85-1957/s4,https://www.govtrack.us/congress/votes/85-1957/s5,https://www.govtrack.us/congress/votes/85-1957/s6,https://www.govtrack.us/congress/votes/85-1957/s7,https://www.govtrack.us/congress/votes/85-1957/s8,https://www.govtrack.us/congress/votes/85-1957/s9,https://www.govtrack.us/congress/votes/85-1957/s10,https://www.govtrack.us/congress/votes/85-1957/s11,https://www.govtrack.us/congress/votes/85-1957/s12,https://www.govtrack.us/congress/votes/85-1957/s13,https://www.govtrack.us/congress/votes/85-1957/s14,https://www.govtrack.us/congress/votes/85-1957/s15,https://www.govtrack.us/congress/votes/85-1957/s16,https://www.govtrack.us/congress/votes/85-1957/s17,https://www.govtrack.us/congress/votes/85-1957/s18,https://www.govtrack.us/congress/votes/85-1957/s19,https://www.govtrack.us/congress/votes/85-1957/s20,https://www.govtrack.us/congress/votes/85-1957/s21,https://www.govtrack.us/congress/votes/85-1957/s22,https://www.govtrack.us/congress/votes/85-1957/s23,https://www.govtrack.us/congress/votes/85-1957/s24,https://www.govtrack.us/congress/votes/85-1957/s25,https://www.govtrack.us/congress/votes/85-1957/s26,https://www.govtrack.us/congress/votes/85-1957/s27,https://www.govtrack.us/congress/votes/85-1957/s28,https://www.govtrack.us/congress/votes/85-1957/s29,https://www.govtrack.us/congress/votes/85-1957/s30,https://www.govtrack.us/congress/votes/85-1957/s31,https://www.govtrack.us/congress/votes/85-1957/s32,https://www.govtrack.us/congress/votes/85-1957/s33,https://www.govtrack.us/congress/votes/85-1957/s34,https://www.govtrack.us/congress/votes/85-1957/s35,https://www.govtrack.us/congress/votes/85-1957/s36,https://www.govtrack.us/congress/votes/85-1957/s37,https://www.govtrack.us/congress/votes/85-1957/s38,https://www.govtrack.us/congress/votes/85-1957/s39,https://www.govtrack.us/congress/votes/85-1957/s40,https://www.govtrack.us/congress/votes/85-1957/s41,https://www.govtrack.us/congress/votes/85-1957/s42,https://www.govtrack.us/congress/votes/85-1957/s43,https://www.govtrack.us/congress/votes/85-1957/s44,https://www.govtrack.us/congress/votes/85-1957/s45,https://www.govtrack.us/congress/votes/85-1957/s46,https://www.govtrack.us/congress/votes/85-1957/s47,https://www.govtrack.us/congress/votes/85-1957/s48,https://www.govtrack.us/congress/votes/85-1957/s49,https://www.govtrack.us/congress/votes/85-1957/s50,https://www.govtrack.us/congress/votes/85-1957/s51,https://www.govtrack.us/congress/votes/85-1957/s52,https://www.govtrack.us/congress/votes/85-1957/s53,https://www.govtrack.us/congress/votes/85-1957/s54,https://www.govtrack.us/congress/votes/85-1957/s55,https://www.govtrack.us/congress/votes/85-1957/s56,https://www.govtrack.us/congress/votes/85-1957/s57,https://www.govtrack.us/congress/votes/85-1957/s58,https://www.govtrack.us/congress/votes/85-1957/s59,https://www.govtrack.us/congress/votes/85-1957/s60,https://www.govtrack.us/congress/votes/85-1957/s61,https://www.govtrack.us/congress/votes/85-1957/s62,https://www.govtrack.us/congress/votes/85-1957/s63,https://www.govtrack.us/congress/votes/85-1957/s64,https://www.govtrack.us/congress/votes/85-1957/s65,https://www.govtrack.us/congress/votes/85-1957/s66,https://www.govtrack.us/congress/votes/85-1957/s67,https://www.govtrack.us/congress/votes/85-1957/s68,https://www.govtrack.us/congress/votes/85-1957/s69,https://www.govtrack.us/congress/votes/85-1957/s70,https://www.govtrack.us/congress/votes/85-1957/s71,https://www.govtrack.us/congress/votes/85-1957/s72,https://www.govtrack.us/congress/votes/85-1957/s73,https://www.govtrack.us/congress/votes/85-1957/s74,https://www.govtrack.us/congress/votes/85-1957/s75,https://www.govtrack.us/congress/votes/85-1957/s76,https://www.govtrack.us/congress/votes/85-1957/s77,https://www.govtrack.us/congress/votes/85-1957/s78,https://www.govtrack.us/congress/votes/85-1957/s79,https://www.govtrack.us/congress/votes/85-1957/s80,https://www.govtrack.us/congress/votes/85-1957/s81,https://www.govtrack.us/congress/votes/85-1957/s82,https://www.govtrack.us/congress/votes/85-1957/s83,https://www.govtrack.us/congress/votes/85-1957/s84,https://www.govtrack.us/congress/votes/85-1957/s85,https://www.govtrack.us/congress/votes/85-1957/s86,https://www.govtrack.us/congress/votes/85-1957/s87,https://www.govtrack.us/congress/votes/85-1957/s88,https://www.govtrack.us/congress/votes/85-1957/s89,https://www.govtrack.us/congress/votes/85-1957/s90,https://www.govtrack.us/congress/votes/85-1957/s91,https://www.govtrack.us/congress/votes/85-1957/s92,https://www.govtrack.us/congress/votes/85-1957/s93,https://www.govtrack.us/congress/votes/85-1957/s94,https://www.govtrack.us/congress/votes/85-1957/s95,https://www.govtrack.us/congress/votes/85-1957/s96,https://www.govtrack.us/congress/votes/85-1957/s97,https://www.govtrack.us/congress/votes/85-1957/s98,https://www.govtrack.us/congress/votes/85-1957/s99,https://www.govtrack.us/congress/votes/85-1957/s100,https://www.govtrack.us/congress/votes/85-1957/s101,https://www.govtrack.us/congress/votes/85-1957/s102,https://www.govtrack.us/congress/votes/85-1957/s103,https://www.govtrack.us/congress/votes/85-1957/s104,https://www.govtrack.us/congress/votes/85-1957/s105,https://www.govtrack.us/congress/votes/85-1957/s106,https://www.govtrack.us/congress/votes/85-1957/s107
"Sen. Carl Curtis [R, 1955-1978]",R,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"Sen. James Fulbright [D, 1945-1974]",D,0.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
"Sen. James Beall [R, 1953-1964]",R,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
"Sen. Clinton Anderson [D, 1949-1972]",D,0.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"Sen. Albert Gore [D, 1953-1970]",D,0.0,1.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0
"Sen. Samuel Ervin Jr. [D, 1954-1974]",D,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5
"Sen. Gordon Allott [R, 1955-1972]",R,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
"Sen. Irving Ives [R, 1947-1958]",R,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
"Sen. Henry “Styles” Bridges [R, 1937-1961]",R,1.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.5,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"Sen. William Langer [R, 1941-1959]",R,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
