Year,Congress,Items 1,Items 2
1988,100,379,799
1987,100,420,420
1986,99,359,740
1985,99,381,381
1984,98,291,662
1983,98,371,371
1982,97,469,966
1981,97,497,497
1980,96,546,1054
1979,96,508,508
1978,95,520,1156
1977,95,636,636
1976,94,700,1311
1975,94,611,611
1974,93,544,1138
1973,93,594,594
1972,92,530,953
1971,92,423,423
1970,91,421,666
1969,91,245,245
1968,90,281,596
1967,90,315,315
1966,89,238,497
1965,89,259,259
1964,88,305,534
1963,88,229,229
1962,87,224,428
1961,87,204,204
1960,86,207,422
1959,86,215,215
1958,85,200,307
1957,85,107,107
1956,84,130,217
1955,84,87,87
1954,83,181,271
1953,83,90,90
1952,82,113,313
1951,82,200,200
1950,81,229,455
1949,81,226,226
1948,80,110,248
1947,80,138,138
1946,79,136,244
1945,79,108,108
1944,78,98,220
1943,78,122,122
1942,77,94,192
1941,77,98,98
